"","status_id","user_id","created_at","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favourites_count","retweet_count","country_code","place_full_name","place_type","followers_count","friends_count","account_lang","account_created_at","verified","lang"
"1",1.237891051895e+18,132225222,"2020-03-12T00:00:00Z","SSalud_mx","¿Por qué #LavarteLasManos? Infórmate en el micrositio sobre el #Coronavirus #COVID19: https://t.co/YVMl7M9ErO https://t.co/mb2lMXkS2j","TweetDeck",NA,NA,"",FALSE,FALSE,3924,62,"","","",632579,206,NA,"2010-04-12T16:53:45Z",TRUE,"es"
"2",1237891051312033792,37950212,"2020-03-12T00:00:00Z","ThaiPBS","6 ข้อดีการใช้ #หน้ากากผ้า ทางเลือกคนไม่ป่วย 

ข้อสำคัญ‼ ควรหมั่นล้างมือให้สะอาดบ่อย ๆ ด้วยน้ำและสบู่ หรือใช้เจลแอลกอฮอล์ล้างมือ ชมวิธีทำหน้ากากผ้าแบบง่าย ๆ ด้วยตัวเอง คลิกเลย!! https://t.co/H9O8Y8gsRH   

📌รู้เท่าทัน ยับยั้งการระบาด #COVID19 กับ #ThaiPBS https://t.co/RuAcdK45k6 https://t.co/BgYnS3hGQq","TweetDeck",NA,NA,"",FALSE,FALSE,2610,92,"","","",2786831,183,NA,"2009-05-05T15:48:26Z",TRUE,"th"
"3",1237891051261739008,15872418,"2020-03-12T00:00:00Z","ABSCBNNews","Narito ang alert level na ginagamit ng Department of Health sa #COVID19. #coronavirus https://t.co/2VOzylKqMr https://t.co/6F0zN7QPMe","TweetDeck",NA,NA,"",FALSE,FALSE,1068,103,"","","",6697909,1075,NA,"2008-08-16T10:09:33Z",TRUE,"tl"
"4",1237891051249184768,860252856829587456,"2020-03-12T00:00:00Z","IMSS_SanLuis","Con manos limpias, seguro estarás mejor. #CincoDeCinco #Coronavirus #COVID19 #PrevenciónCoronavirus https://t.co/0aQRNzyeAb","TweetDeck",NA,NA,"",FALSE,FALSE,300,0,"","","",942,41,NA,"2017-05-04T22:00:38Z",FALSE,"es"
"5",1237891051903307776,92174767,"2020-03-12T00:00:00Z","DZMMTeleRadyo","Tinanggihan ng ilang miyembro ng Kamara na isailalim sa lockdown ang Metro Manila. #COVID19 https://t.co/AH5MF2Gn2v","TweetDeck",NA,NA,"",FALSE,FALSE,573,2,"","","",1336680,161,NA,"2009-11-24T02:03:16Z",TRUE,"tl"
"6",1237891053090418688,14605976,"2020-03-12T00:00:00Z","PrensaFutbol","Se complica la Europa League: @GetafeCF no irá a Italia para jugar con el @Inter de @Alexis_Sanchez por temor al #COVID19. https://t.co/mr4gIbMjmI https://t.co/lv4zpsALI7","TweetDeck",NA,NA,"",FALSE,FALSE,1266,0,"","","",223550,32387,NA,"2008-04-30T21:08:38Z",FALSE,"es"
"7",1237891052109008896,91430932,"2020-03-12T00:00:00Z","NewsweekEspanol","#CoronaVirusFacts I El defensa de la #Juventus de Turín, Daniele Rugani, dio positivo por #COVID19.
https://t.co/5MH27yFI5T","TweetDeck",NA,NA,"",FALSE,FALSE,2181,2,"","","",86969,813,NA,"2009-11-20T21:36:41Z",TRUE,"es"
"8",1237891054600241152,3520752864,"2020-03-12T00:00:00Z","Tokyo_gov","Watch this newly released video featuring a message from Tokyo's Governor Koike on #COVID19 below #Coronavirus https://t.co/V9b5wITADF","TweetDeck",NA,NA,"",FALSE,FALSE,3,37,"","","",118670,16,NA,"2015-09-11T00:05:21Z",TRUE,"en"
"9",1237891054399115264,1056850669,"2020-03-12T00:00:00Z","airnewsalerts","60 positive cases of #Covid19 in India, says Health Ministry

https://t.co/JwIzC1snsl","TweetDeck",NA,NA,"",FALSE,FALSE,605,12,"","","",2236114,13,NA,"2013-01-03T04:15:45Z",TRUE,"en"
"10",1237891053988073472,794162328,"2020-03-12T00:00:00Z","StatesideRadio","UM medical historian @HowardMarkel says he doesn't feel fearful about #COVID19. But he does think there's plenty to learn about how decisions are made in outbreaks.

https://t.co/ZzOh8t2CDY","TweetDeck",NA,NA,"",FALSE,FALSE,662,0,"","","",3786,412,NA,"2012-08-31T16:08:32Z",FALSE,"en"
